n,sigma(n),Prime Factorization,diff,Valid (d1, d2) Combinations
232774912,465621156,"2^8 * 857^1 * 1061^1",71332,"+3428 +67904; +67904 +3428"
234111232,468288576,"2^8 * 887^1 * 1031^1",66112,"+128 +65984; +65984 +128"
234404608,468877248,"2^8 * 863^1 * 1061^1",68032,"+128 +67904; +67904 +128"
234852352,536805376,"2^12 * 7^1 * 8191^1",67100672,"+58713088 +8387584; +8387584 +58713088"
237647104,475352640,"2^8 * 911^1 * 1019^1",58432,"+128 +58304; +58304 +128"
242358016,484771392,"2^8 * 863^1 * 1097^1",55360,"+128 +55232; +55232 +128"
258949888,517994568,"2^8 * 683^1 * 1481^1",94792,"+8 +94784; +94784 +8"
264011008,528169600,"2^8 * 607^1 * 1699^1",147584,"+108736 +38848; +38848 +108736"
265036672,530077680,"2^7 * 263^1 * 7873^1",4336,"+128 +4208; +4208 +128"
266657024,533318436,"2^8 * 953^1 * 1093^1",4388,"+16 +4372; +4372 +16"
270420736,540899632,"2^8 * 727^1 * 1453^1",58160,"+11632 +46528; +46528 +11632"
271896832,543793936,"2^8 * 907^1 * 1171^1",272,"+16 +256; +256 +16"
274505984,549059280,"2^8 * 739^1 * 1451^1",47312,"+16 +47296; +47296 +16"
276103424,552217260,"2^8 * 829^1 * 1301^1",10412,"+10408 +4; +4 +10408"
278981888,558012000,"2^8 * 727^1 * 1499^1",48224,"+256 +47968; +47968 +256"
287335168,574797328,"2^8 * 613^1 * 1831^1",126992,"+117184 +9808; +9808 +117184"
299181824,599464320,"2^8 * 281^1 * 4159^1",1100672,"+1064704 +35968; +35968 +1064704"
301712128,603495088,"2^8 * 661^1 * 1783^1",70832,"+28528 +42304; +42304 +28528"
304994048,610011360,"2^8 * 719^1 * 1657^1",23264,"+23008 +256; +256 +23008"
309294848,618718800,"2^8 * 599^1 * 2017^1",129104,"+129088 +16; +16 +129088"
316797568,633958560,"2^7 * 227^1 * 10903^1",363424,"+14528 +348896; +348896 +14528"
320298752,640597776,"2^8 * 727^1 * 1721^1",272,"+16 +256; +256 +16"
323136512,648833496,"2^10 * 281^1 * 1123^1",2560472,"+2524504 +35968; +35968 +2524504"
330431744,661011204,"2^8 * 577^1 * 2237^1",147716,"+147712 +4; +4 +147712"
332333824,664667920,"2^8 * 709^1 * 1831^1",272,"+16 +256; +256 +16"
347609344,700650496,"2^8 * 103^1 * 13183^1",5431808,"+412 +5431396; +5431396 +412"
351198464,702776256,"2^8 * 463^1 * 2963^1",379328,"+379264 +64; +64 +379264"
362159872,724360896,"2^8 * 641^1 * 2207^1",41152,"+128 +41024; +41024 +128"
362291456,724600044,"2^8 * 661^1 * 2141^1",17132,"+17128 +4; +4 +17128"
369455872,739077696,"2^8 * 557^1 * 2591^1",165952,"+128 +165824; +165824 +128"
387110272,774333000,"2^7 * 251^1 * 12049^1",112456,"+16064 +96392; +96392 +16064"
395946112,792331920,"2^7 * 227^1 * 13627^1",439696,"+3632 +436064; +436064 +3632"
409137536,818727480,"2^7 * 227^1 * 14081^1",452408,"+1816 +450592; +450592 +1816"
421399168,843262560,"2^7 * 227^1 * 14503^1",464224,"+128 +464096; +464096 +128"
421864064,844192800,"2^7 * 227^1 * 14519^1",464672,"+464608 +64; +64 +464608"
422270848,845006760,"2^7 * 227^1 * 14533^1",465064,"+465056 +8; +8 +465056"
